
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"

="1.Post X Grandmother died",="-0.0154",="-0.0223*",="-0.0159",="0.00740",="-0.0172",="0.00642",="-0.0175",="0.00355",="-0.00990",="-0.0294**",="-0.0307**"
="",="(0.0133)",="(0.0123)",="(0.0133)",="(0.00960)",="(0.0120)",="(0.00959)",="(0.0120)",="(0.00852)",="(0.00848)",="(0.0142)",="(0.0151)"

="1.post_gm_died#1.o_le_5",="-0.124***",="-0.107***",="-0.121***",="-0.122***",="-0.0916***",="-0.118***",="-0.0888***",="-0.0905***",="-0.0870***",="-0.0749*",="-0.0754*"
="",="(0.0307)",="(0.0278)",="(0.0307)",="(0.0313)",="(0.0279)",="(0.0312)",="(0.0278)",="(0.0281)",="(0.0280)",="(0.0407)",="(0.0427)"

="FE",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID year_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex",="ID yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex",="ID yq_c_gm_died_sex",="ID  yq_c_o_le_5_sex",="ID",="yq_c_loc_group_sex eda_cat5_sex t_gk_max_t_sec_gen_max_sex_t_ind_max inc_f_cat10_sex edu_max_sex",="yq_c_loc_group_sex"
="Cluster",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH"
="N",="484454",="484454",="484454",="484454",="484454",="484454",="484454",="484454",="484454",="484234",="484454"

