
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="employed",="employed",="employed",="employed",="any_work",="any_paidwork",="employed",="employed",="employed",="employed",="employed"

="post_gm_died",="-0.0154",="-0.0216*",="-0.0150",="-0.0270**",="0.00309",="0.00317",="",="",="-0.0366*",="-0.0131",="0.0131"
="",="(0.0133)",="(0.0126)",="(0.0130)",="(0.0123)",="(0.0163)",="(0.0158)",="",="",="(0.0201)",="(0.0146)",="(0.0283)"

="post_gm_died_o_le_5",="-0.124***",="-0.0986***",="-0.129***",="-0.100***",="-0.0909**",="-0.101***",="",="",="-0.147***",="",="-0.161**"
="",="(0.0307)",="(0.0273)",="(0.0306)",="(0.0285)",="(0.0371)",="(0.0356)",="",="",="(0.0447)",="",="(0.0672)"

="gm_le60_post_gm_died",="",="",="",="",="",="",="-0.0263",="",="",="",=""
="",="",="",="",="",="",="",="(0.0290)",="",="",="",=""

="gm_le60_post_gm_died_o_le_5",="",="",="",="",="",="",="-0.163***",="",="",="",=""
="",="",="",="",="",="",="",="(0.0548)",="",="",="",=""

="gm_le70_post_gm_died",="",="",="",="",="",="",="",="-0.0303*",="",="",=""
="",="",="",="",="",="",="",="",="(0.0172)",="",="",=""

="gm_le70_post_gm_died_o_le_5",="",="",="",="",="",="",="",="-0.137***",="",="",=""
="",="",="",="",="",="",="",="",="(0.0369)",="",="",=""

="post_gm_died_y_le_5",="",="",="",="",="",="",="",="",="",="-0.0440**",=""
="",="",="",="",="",="",="",="",="",="",="(0.0191)",=""

="_cons",="0.441***",="0.441***",="0.441***",="0.442***",="0.562***",="0.531***",="0.441***",="0.441***",="0.406***",="0.441***",="0.431***"
="",="(0.0000829)",="(0.0000747)",="(0.0000829)",="(0.0000754)",="(0.000102)",="(0.0000981)",="(0.0000313)",="(0.0000483)",="(0.000128)",="(0.0000834)",="(0.0138)"

="N",="484454",="561119",="487651",="620172",="484454",="484454",="484454",="484454",="484454",="484454",="2561"
="model",="Base",="unbalanced",="any_N_gp",="any_N_parents",="any_work",="any_paidwork",="gm_le60",="gm_le70",="Weights",="youngest",="DD yq_loc_group_sex"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
