
="                                             ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="                                             ",="employed",="employed",="employed",="employed",="employed",="employed"

="d_gm_died                                    ",="-0.0136",="-0.0134",="-0.0139",="-0.0134",="-0.0136",="-0.0139"
="                                             ",="(0.0136)",="(0.0137)",="(0.0136)",="(0.0136)",="(0.0136)",="(0.0136)"

="d_gm_died_le                                 ",="-0.126***",="-0.125***",="-0.125***",="-0.123***",="-0.125***",="-0.122***"
="                                             ",="(0.0324)",="(0.0317)",="(0.0319)",="(0.0313)",="(0.0318)",="(0.0311)"

="d_gm_died_CC_624411                          ",="0.0127",="",="0.00705",="",="0.0127",="0.00686"
="                                             ",="(0.0100)",="",="(0.00997)",="",="(0.0100)",="(0.00995)"

="d_gm_died_le_CC_624411                       ",="-0.0149",="",="-0.0166",="",="-0.0268",="-0.0305"
="                                             ",="(0.0320)",="",="(0.0307)",="",="(0.0321)",="(0.0307)"

="d_gm_died_CC_624412                          ",="",="0.00107",="",="0.00294",="-0.000276",="0.00239"
="                                             ",="",="(0.00724)",="",="(0.00761)",="(0.00700)",="(0.00738)"

="d_gm_died_le_CC_624412                       ",="",="0.0829**",="",="0.0894**",="0.0905**",="0.100**"
="                                             ",="",="(0.0421)",="",="(0.0428)",="(0.0420)",="(0.0441)"

="Sample Size                                  ",="464974",="464974",="465342",="465342",="464974",="465342"
="Clustered SE                                 ",="HH",="HH",="HH",="HH",="HH",="HH"
="First Stage Sample Size                      ",="1047",="1047",="-",="-",="1047",="-"
="Interaction                                  ",="Z_n_624411_p0a5_20_mun_r",="Z_n_624412_p0a5_20_mun_r",="Z_n_624411_p0a5_20_mun",="Z_n_624412_p0a5_20_mun",="Z_n_p0a5_20_mun_r",="Z_n_p0a5_20"
="First Stage                                  ",="Y",="Y",="N",="N",="Y",="N"
="Fixed Effects                                ",="",="",="",="",="",=""
="Clustered SE                                 ",="",="",="HH_ID",="HH_ID",="HH_ID",="HH_ID"

