
="                                             ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="                                             ",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed",="employed"

="d_gm_died                                    ",="-0.0197",="-0.0286",="-0.0148",="-0.0196",="-0.0111",="0.00472",="-0.0164",="-0.0199",="-0.0187",="0.0165",="-0.0360**",="-0.0161"
="                                             ",="(0.0158)",="(0.0228)",="(0.0220)",="(0.0143)",="(0.0172)",="(0.0200)",="(0.0133)",="(0.0241)",="(0.0239)",="(0.0145)",="(0.0157)",="(0.0139)"

="d_gm_died_le                                 ",="-0.122***",="-0.134**",="-0.172**",="-0.167**",="-0.183***",="-0.209***",="-0.129***",="-0.200**",="-0.201**",="-0.119***",="-0.0581",="-0.106***"
="                                             ",="(0.0305)",="(0.0620)",="(0.0678)",="(0.0659)",="(0.0436)",="(0.0493)",="(0.0316)",="(0.0822)",="(0.0828)",="(0.0330)",="(0.0409)",="(0.0332)"

="d_gm_died_Het                                ",="-0.0126",="0.00529",="-0.000279",="0.0116",="-0.00391",="-0.0270",="-0.00912",="0.0204",="-0.00697",="-0.116***",="0.0490***",="0.00488"
="                                             ",="(0.0205)",="(0.00768)",="(0.00796)",="(0.0155)",="(0.00936)",="(0.0210)",="(0.00882)",="(0.0128)",="(0.0187)",="(0.0208)",="(0.0189)",="(0.0272)"

="d_gm_died_le_Het                             ",="-0.0904**",="0.0117",="0.0363",="0.0243",="0.0897**",="0.152**",="-0.0319",="0.0277",="-0.0189",="-0.0693",="-0.133**",="-0.0866"
="                                             ",="(0.0446)",="(0.0362)",="(0.0447)",="(0.0466)",="(0.0369)",="(0.0621)",="(0.0400)",="(0.0512)",="(0.0867)",="(0.0840)",="(0.0605)",="(0.0823)"

="Sample Size                                  ",="484454",="484454",="484454",="484454",="484454",="484454",="484454",="175210",="175210",="484454",="484454",="484454"
="Clustered SE                                 ",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH",="HH"
="Fixed Effects                                ",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex",="ID yq_c_loc_group_sex yq_c_o_le_5_sex yq_c_gm_died_sex"
="Clustered SE                                 ",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID",="HH_ID"
="Het var                                      ",="Z_time_cuidar_gm_p1",="n_hij_p1",="t_gk_p1",="t_gk_u6_p1",="t_gk_m_p1",="d_gk_m_p1",="Z_inc_f2_p1",="Z_ingocup_cond_p1",="Z_hrsocup_cond_p1",="f_emp_p1",="high_more_p1",="coll_more_p1"

